date ID ChamEvts Chambers CHAM ML MZ TB badT0 #DeltaT0 #DeltaT0Err T0slope T0slopeErr Tmax TmaxErr ADC ADCErr ADCwidth ADCwidthErr
units X        x        x    x  x  x  x  [ns] [ns]   x    [ns]          x [ns]       x [ns]     x     [ns]           x
min   0        0        0    0  0  0  0     0  0     0       1          0  730       0 125      0       30           0
max   0        0     1170  100 100 100 1   10  0     0       3          0  765       0 145      0       40           0
norm  0        0        0    0  0  0  0     0  0     0       0          0    0       0   0      0        0           0
20121104  MP421 233008 1005  1.07 30.67 65.45  0.00570  2.81 0.013 0.005 2.125 0.002 741.028 0.011 133.492 0.001 34.479 0.001
20121104 UM2601 213333 1008  1.30 33.90 61.96  0.00000  2.84 -0.005 0.005 2.128 0.002 741.022 0.012 133.498 0.001 34.485 0.001
20121105  MP422 133384 1007  2.11 53.95 40.78  0.00000  3.16 0.064 0.005 2.201 0.002 741.488 0.014 132.486 0.002 34.271 0.001
20121107 UM2608 301114 1013  1.16 20.59 75.41  0.12198  2.71 -0.022 0.004 2.117 0.001 740.226 0.010 133.622 0.001 34.531 0.001
20121108 UM2611 256254 1013  1.32 26.58 69.31  0.01823  2.77 0.005 0.004 2.121 0.002 740.222 0.011 133.592 0.001 34.520 0.001
20121108 UM2612 202203 1008  1.22 36.43 59.36  0.00000  2.99 0.048 0.005 2.140 0.002 740.799 0.012 133.387 0.001 34.443 0.001
20121111  MP424 156436 1005  1.57 48.88 46.42  0.00000  3.13 0.021 0.005 2.173 0.002 740.625 0.013 133.327 0.001 34.442 0.001
20121111 UM2619 202762 1007  1.83 38.10 57.14  0.00000  2.94 0.037 0.005 2.131 0.002 740.563 0.012 133.617 0.001 34.479 0.001
20121113 UM2624 227780 1007  1.07 31.35 64.75  0.00126  2.83 0.020 0.005 2.125 0.002 740.275 0.011 133.527 0.001 34.487 0.001
20121114  MP425 276065 1008  0.87 20.84 75.66  0.00411  2.63 0.000 0.004 2.125 0.001 740.307 0.010 133.162 0.001 34.418 0.001
20121114  MP426 185616 1006  1.00 35.69 60.40  0.00000  2.90 0.027 0.005 2.145 0.002 740.776 0.012 133.186 0.001 34.399 0.001
20121115  RM899 275845 1012  1.13 23.99 72.09  0.05567  2.73 0.027 0.004 2.116 0.001 740.100 0.010 133.544 0.001 34.477 0.001
20121116  MP428 216015 1007  1.09 34.07 61.94  0.00000  2.90 -0.014 0.005 2.127 0.002 740.226 0.011 133.634 0.001 34.504 0.001
20121116  RM900 180827 1006  1.41 41.22 54.35  0.00000  3.02 0.003 0.005 2.144 0.002 740.304 0.012 133.654 0.001 34.513 0.001
20121116  MP430 215154 1007  1.19 33.69 62.28  0.00000  2.84 -0.027 0.005 2.129 0.002 740.065 0.011 133.556 0.001 34.501 0.001
20121117  RM901  57973  967 10.00 80.95  5.70  0.00000  3.35 -0.068 0.007 2.305 0.003 739.992 0.023 134.120 0.004 34.662 0.003
20121118  MP431 212689 1007  1.21 34.20 61.76  0.00000  2.84 0.035 0.005 2.136 0.002 739.959 0.012 133.496 0.001 34.487 0.001
20121118  RM902 256236 1011  1.06 26.81 69.36  0.02140  2.75 0.016 0.004 2.118 0.002 739.849 0.011 133.513 0.001 34.481 0.001
20121119  RM903 210892 1007  1.11 34.45 61.58  0.00000  2.86 0.035 0.005 2.135 0.002 739.912 0.012 133.497 0.001 34.481 0.001
20121124  MP434 212079 1007  1.27 34.71 61.15  0.00000  2.87 -0.001 0.005 2.125 0.002 739.541 0.011 133.673 0.001 34.515 0.001
20121124  RM905 267553 1012  1.23 25.75 70.23  0.04215  2.75 0.009 0.004 2.118 0.001 739.447 0.010 133.533 0.001 34.473 0.001
20121125  RM906 260913 1009  1.40 26.44 69.38  0.02617  2.75 0.041 0.004 2.119 0.002 739.358 0.010 133.483 0.001 34.474 0.001
20121125  RM907 304017 1012  0.96 20.88 75.32  0.15508  2.68 0.038 0.004 2.119 0.001 739.319 0.010 133.493 0.001 34.460 0.001
20121130  MP438 206485 1008  1.42 37.07 58.64  0.00000  2.87 0.011 0.005 2.153 0.002 739.352 0.012 132.861 0.001 34.333 0.001
20121130  RM909 261876 1013  1.14 26.00 70.09  0.03269  2.74 0.058 0.004 2.120 0.002 739.264 0.010 133.486 0.001 34.463 0.001
20121201  RM910 210662 1010  1.07 34.77 61.27  0.00000  2.89 0.057 0.005 2.129 0.002 739.355 0.012 133.504 0.001 34.461 0.001
20121201  RM911 252750 1013  1.13 27.20 68.91  0.01351  2.75 0.027 0.004 2.121 0.002 739.154 0.011 133.474 0.001 34.467 0.001
20121202  RM912 236254 1011  1.16 30.01 66.01  0.00378  2.81 0.090 0.005 2.122 0.002 739.171 0.011 133.511 0.001 34.474 0.001e
20121204  RM913 203347 1012  1.07 32.12 63.91  0.00000  2.91 0.051 0.005 2.140 0.002 739.680 0.012 132.952 0.001 34.354 0.001
20121205  RM914 253710 1011  1.04 27.33 68.85  0.01574  2.76 0.045 0.004 2.119 0.002 739.152 0.011 133.561 0.001 34.487 0.001
20121205  RM915 216260 1011  1.17 33.60 62.33  0.00000  2.90 0.055 0.005 2.130 0.002 739.231 0.011 133.587 0.001 34.495 0.001
20121205  RM916 257628 1012  1.07 26.56 69.55  0.02422  2.80 0.047 0.004 2.121 0.002 739.141 0.010 133.524 0.001 34.478 0.001
20121216  RM919  84328  994  3.12 77.55 15.97  0.00000  3.37 -0.039 0.006 2.291 0.003 740.490 0.018 135.267 0.002 34.858 0.002
